,id,title,description,director,cast,rating
18,tt0119217,Good Will Hunting,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,"Robin Williams, 
Matt Damon, 
Ben Affleck, 
Stellan Skarsgård",8.3
19,tt0109830,Forrest Gump,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,"Tom Hanks, 
Robin Wright, 
Gary Sinise, 
Sally Field",8.8
30,tt3783958,La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Damien Chazelle,"Ryan Gosling, 
Emma Stone, 
Rosemarie DeWitt, 
J.K. Simmons",8.0
33,tt0338013,Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",Michel Gondry,"Jim Carrey, 
Kate Winslet, 
Tom Wilkinson, 
Gerry Robert Byrne",8.3
35,tt0093779,The Princess Bride,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,"Cary Elwes, 
Mandy Patinkin, 
Robin Wright, 
Chris Sarandon",8.0
38,tt13238346,Past Lives,"Nora and Hae Sung, two deeply connected childhood friends, are wrest apart after Nora's family emigrates from South Korea. 20 years later, they are reunited for one fateful week as they confront notions of love and destiny.",Celine Song,"Greta Lee, 
Teo Yoo, 
John Magaro, 
Moon Seung-ah",8.2
55,tt1798709,Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,"Joaquin Phoenix, 
Amy Adams, 
Scarlett Johansson, 
Rooney Mara",8.0
73,tt0118799,Life Is Beautiful,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,"Roberto Benigni, 
Nicoletta Braschi, 
Giorgio Cantarini, 
Giustino Durano",8.6
74,tt4016934,The Handmaiden,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Park Chan-wook,"Kim Min-hee, 
Ha Jung-woo, 
Cho Jin-woong, 
Moon So-ri",8.1
85,tt0059742,The Sound of Music,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,Robert Wise,"Julie Andrews, 
Christopher Plummer, 
Eleanor Parker, 
Richard Haydn",8.1
119,tt5311514,Your Name.,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,"Ryunosuke Kamiki, 
Mone Kamishiraishi, 
Ryo Narita, 
Aoi Yûki",8.4
120,tt0034583,Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,"Humphrey Bogart, 
Ingrid Bergman, 
Paul Henreid, 
Claude Rains",8.5
127,tt0031381,Gone with the Wind,American motion picture classic in which a manipulative woman and a roguish man conduct a turbulent romance during the Civil War and Reconstruction periods.,"Victor Fleming, 
George Cukor, 
Sam Wood","Clark Gable, 
Vivien Leigh, 
Thomas Mitchell, 
Barbara O'Neil",8.2
