,id,title,description,director,cast,rating
47,tt0078748,Alien,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,Ridley Scott,"Sigourney Weaver, 
Tom Skerritt, 
John Hurt, 
Veronica Cartwright",8.5
49,tt1392190,Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,"Tom Hardy, 
Charlize Theron, 
Nicholas Hoult, 
Zoë Kravitz",8.1
51,tt0076759,Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,"Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Alec Guinness",8.6
54,tt1798709,Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,"Joaquin Phoenix, 
Amy Adams, 
Scarlett Johansson, 
Rooney Mara",8.0
55,tt4154756,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Hemsworth, 
Mark Ruffalo, 
Chris Evans",8.4
56,tt0066921,A Clockwork Orange,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,"Malcolm McDowell, 
Patrick Magee, 
Michael Bates, 
Warren Clarke",8.3
68,tt0083658,Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,"Harrison Ford, 
Rutger Hauer, 
Sean Young, 
Edward James Olmos",8.1
70,tt0088247,The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",James Cameron,"Arnold Schwarzenegger, 
Linda Hamilton, 
Michael Biehn, 
Paul Winfield",8.1
71,tt0103064,Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.",James Cameron,"Arnold Schwarzenegger, 
Linda Hamilton, 
Edward Furlong, 
Robert Patrick",8.6
74,tt4633694,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman","Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali",8.4
77,tt0090605,Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",James Cameron,"Sigourney Weaver, 
Michael Biehn, 
Carrie Henn, 
Paul Reiser",8.4
81,tt12361974,Zack Snyder's Justice League,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Zack Snyder,"Henry Cavill, 
Ben Affleck, 
Gal Gadot, 
Amy Adams",8.0
84,tt0246578,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly,"Jake Gyllenhaal, 
Jena Malone, 
Mary McDonnell, 
Holmes Osborne",8.0
85,tt0062622,2001: A Space Odyssey,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",Stanley Kubrick,"Keir Dullea, 
Gary Lockwood, 
William Sylvester, 
Daniel Richter",8.3
93,tt3315342,Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,"Hugh Jackman, 
Patrick Stewart, 
Dafne Keen, 
Boyd Holbrook",8.1
101,tt3659388,The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",Ridley Scott,"Matt Damon, 
Jessica Chastain, 
Kristen Wiig, 
Kate Mara",8.0
109,tt0848228,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,"Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner",8.0
130,tt0084787,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,"Kurt Russell, 
Wilford Brimley, 
Keith David, 
Richard Masur",8.2
149,tt0080684,Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are overpowered by the Empire, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,"Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams",8.7
158,tt0086190,Star Wars: Episode VI - Return of the Jedi,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",Richard Marquand,"Mark Hamill, 
Harrison Ford, 
Carrie Fisher, 
Billy Dee Williams",8.3
164,tt0910970,WALL·E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,"Ben Burtt, 
Elissa Knight, 
Jeff Garlin, 
Fred Willard",8.4
184,tt0434409,V for Vendetta,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,"Hugo Weaving, 
Natalie Portman, 
Rupert Graves, 
Stephen Rea",8.2
209,tt0114746,12 Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,"Bruce Willis, 
Madeleine Stowe, 
Brad Pitt, 
Joseph Melito",8.0
308,tt0094625,Akira,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",Katsuhiro Ôtomo,"Mitsuo Iwata, 
Nozomu Sasaki, 
Mami Koyama, 
Tesshô Genda",8.0
332,tt0017136,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,"Brigitte Helm, 
Alfred Abel, 
Gustav Fröhlich, 
Rudolf Klein-Rogge",8.3
335,tt0063442,Planet of the Apes,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.,Franklin J. Schaffner,"Charlton Heston, 
Roddy McDowall, 
Kim Hunter, 
Maurice Evans",8.0
361,tt0079944,Stalker,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,"Alisa Freyndlikh, 
Aleksandr Kaydanovskiy, 
Anatoliy Solonitsyn, 
Nikolay Grinko",8.1
489,tt0129167,The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,"Eli Marienthal, 
Harry Connick Jr., 
Jennifer Aniston, 
Vin Diesel",8.1
554,tt0069293,Solaris,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Andrei Tarkovsky,"Natalya Bondarchuk, 
Donatas Banionis, 
Jüri Järvet, 
Vladislav Dvorzhetskiy",8.0
649,tt0087544,Nausicaä of the Valley of the Wind,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki,"Sumi Shimamoto, 
Mahito Tsujimura, 
Hisako Kyôda, 
Gorô Naya",8.0
675,tt2338151,PK,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.,Rajkumar Hirani,"Aamir Khan, 
Anushka Sharma, 
Sanjay Dutt, 
Boman Irani",8.1
768,tt0169858,Neon Genesis Evangelion: The End of Evangelion,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,"Hideaki Anno, 
Kazuya Tsurumaki","Megumi Ogata, 
Megumi Hayashibara, 
Yûko Miyamura, 
Kotono Mitsuishi",8.1
949,tt20724032,Free LSD,An elderly sex shop owner's attraction to a younger woman leads him to an erectile dysfunction doctor whose treatment reveals an alluring but treacherous alternate reality.,Dimitri Coats,"Keith Morris, 
Dimitri Coats, 
Autry Fulbright II, 
DH Peligro",8.4
1000,tt2458948,Evangelion: 3.0+1.01 Thrice Upon a Time,"The fourth and final installment of the Rebuild of Evangelion. Misato and her anti-Nerv group Wille arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower.","Mahiro Maeda, 
Katsuichi Nakayama, 
Kazuya Tsurumaki, 
Hideaki Anno, 
Joe Fria","Megumi Ogata, 
Megumi Hayashibara, 
Yûko Miyamura, 
Akira Ishida",8.0
1048,tt24225212,Mechamato Movie,"After a mysterious spaceship crash landed on Earth, a boy named Amato came across a powerful robot named MechaBot. By outsmarting MechaBot and becoming its master, Amato can now utilize ...                See full summary »",Nizam Razak,"Armand Ezra, 
Muhamad Noradzlan Mohamad Nazir, 
Ielham Iskandar, 
Fadzli Mohd Rawi",8.0
1218,tt1795369,Frankenstein,"Created by Victor Frankenstein, the one known only as 'The Creature' sets out to discover the world and the meaning of his life.","Danny Boyle, 
Tim Van Someren","Jonny Lee Miller, 
Benedict Cumberbatch, 
Andreea Paduraru, 
Ella Smith",8.6
1254,tt7170374,Shrouded Destiny: A Star Wars Long Tale - Fan Production,"500 years before the Clone Wars the Galactic Republic builds ""The Citadel"", which is a maximum security facility designed to keep ""Rogue Jedi"" imprisoned. Rogue Jedi all over the galaxy are...                See full summary »",Shahbaz Sarwar,"Lars Mikkelsen, 
Magnus Bruun, 
Shahbaz Sarwar, 
Afshin Firouzi",8.0
1265,tt10068916,Made in Abyss: Dawn of the Deep Soul,"Riko, Reg, and their new friend, Nanachi, continue their journey down the Abyss and arrive at the 5th layer. But in order for them to continue to the 6th layer, they must encounter the haunting figure of Nanachi's past: Bondrewd the Novel.",Masayuki Kojima,"Miyu Tomita, 
Mariya Ise, 
Shiori Izawa, 
Inori Minase",8.0
1302,tt14672882,The Tomorrow Job,A team of thieves use a drug that allows them to trade consciousnesses with their future-selves in order to steal tomorrow's secrets.,Bruce Wemple,"Grant Schumacher, 
Caitlin Duffy, 
Ariella Mastroianni, 
Chris Cimperman",8.1
1410,tt15465194,Dr. 56,"The story is based on some real events happening in the society. This is a science fiction medical thriller murder mystery story . PRIYA, who is a CBI officer, comes to the City for ...                See full summary »",Rajesh Anandaleela,"Ramesh Bhat, 
Deepak, 
Swathi Gurudath, 
Manjunath Hegde",9.0
1485,tt0384116,G.O.R.A.,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,Ömer Faruk Sorak,"Cem Yilmaz, 
Özge Özberk, 
Ozan Güven, 
Safak Sezer",8.0
1580,tt20784426,Maro Prapancham,"There are many mysteries in this whole universe that are beyond the comprehension and beyond the imagination of the human brain. One of them is Parallel universe concept"". The story is ...                See full summary »",Kilaru Naveen,"Venkat Kiran, 
Akshika Vidvat, 
Yamin Raaz, 
Suraiya Parvin",8.5
2094,tt1530535,Magnetic Rose,"""Magnetic Rose"" is about what happens when a deep space corporate freighter is called upon to investigate a distress signal from what ought to be a derelict space station. The space station...                See full summary »",Kôji Morimoto,"Shigeru Chiba, 
Ami Hasegawa, 
Masato Hirano, 
Tomoko Ishimura",8.2
2119,tt4983780,Maanaadu,"On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop.",Venkat Prabhu,"Silambarasan Rajendar, 
S.J. Suryah, 
Kalyani Priyadarshan, 
S.A. Chandrashekhar",8.3
2218,tt10766468,Gintama: The Final,The concluding movie to the Gintama anime series.,Chizuru Miyawaki,"Greg Ayres, 
James Belcher, 
Clint Bickham, 
Shelley Calene-Black",8.5
2290,tt2075291,Cyborg Nemesis: The Dark Rift,A U.S. Marine special ops team awakens from hypersleep in a long-abandoned underground laboratory complex with no memory of who they are or why they are there - and they are not alone. Something has infiltrated the complex.,Albert Pyun,"Sasha Mitchell, 
Vincent Klyn, 
Terrie Batson, 
Olivier Gruner",8.1
2423,tt16766174,Sith Wars: Episode II - Legacy of the Sith,"After the defeat at Agamar, Darth Vader discovers that both Master Yoda and Master Vaal, are training a new apprentice who is rumored to be able to defeat the sith, now he takes a personal vendetta against the rest of the Jedi order.",Rui Constantino,"Rui Miguel Almeida, 
Miguel Sousa Alves, 
Caleb Angel, 
Ribeiro Antunes",8.5
2465,tt5061126,Rocky Horror Show Live,"A live stage production of the musical, filmed at the Playhouse Theatre in London, commemorating the 40th anniversary of the release of The Rocky Horror Picture Show (1975).",Christopher Luscombe,"Jayde Westaby, 
Haley Flaherty, 
Ben Forster, 
Stephen Fry",8.1
2876,tt12820524,Helsreach: The Movie,The Black Templars and the Astra Militarum's Steel Legion fend off a massive ork waaagh during the 3rd battle for Armageddon.,Richard Boylan,Jonathan Keeble,9.1
2890,tt1572781,The Disappearance of Haruhi Suzumiya,"A week before Christmas, Kyon wakes up in a world where the SOS Brigade doesn't exist. Mikuru and Yuki don't recognize him, and Haruhi and Itsuki seem to have vanished.","Tatsuya Ishihara, 
Yasuhiro Takemoto","Aya Hirano, 
Tomokazu Sugita, 
Minori Chihara, 
Yûko Gotô",8.0
2899,tt9020536,Ejen Ali: The Movie,"After being accidentally recruited as a spy, 12-year-old Ejen Ali has now grown to embrace his role in secret agency Meta Advance Tactical Agency (MATA) to protect the futuristic city of Cyberaya from outside threats.",Muhammad Usamah Zaid,"Altimet, 
Amir Bamer, 
Fadhli, 
Abu Shafian Abd Hamid",8.0
2976,tt4806232,Indru Netru Naalai,"Elango and his friend Pulivetti come into possession of a time machine and they start profiting from it. However, their meddling with time prevents the death of a gangster, who begins to wreak havoc in their lives.",R. Ravikumar,"Vishnu Vishal, 
Miya George, 
Karunakaran, 
V. Jayaprakash",8.0
3038,tt0176694,The Tragedy of Man,"Adam's and Eve's epic journey throughout history trying to find the meaning of human life. Do we grow in wisdom as centuries pass, or just drift towards an inevitable doom?",Marcell Jankovics,"Gyula Balázsi, 
Péter Benkö, 
Ágnes Bertalan, 
Péter Blaskó",8.0
3263,tt1422651,Gurren Lagann the Movie: The Lights in the Sky are Stars,"Seven years after the defeat of the Spiral King, Simon and the Dai-Gurren brigade must set out to the vastness of space to defeat a new threat and save the universe. The last high-stakes battle for Simon and his team is about to begin.",Hiroyuki Imaishi,"Marina Inoue, 
Tetsuya Kakihara, 
Katsuyuki Konishi, 
Michael C. Pizzuto",8.0
3299,tt0070233,Ivan Vasilyevich Changes His Profession,"An ordinary Soviet building manager, living in the 20th century, looks like Tsar of All Rus' - Ivan IV the Terrible (1530 - 1584). He'd never known this, until his neighbor created a time machine.",Leonid Gaidai,"Yuriy Yakovlev, 
Leonid Kuravlyov, 
Aleksandr Demyanenko, 
Saveliy Kramarov",8.2
3314,tt16400820,Epix,Epix have to defeat a evil threat lurking in the shadows,J.A. Collins III,"James Coles, 
George Easterling, 
Jaconiom, 
Raymond Martin",8.1
3425,tt0462699,Conan the Future Boy: The Big Giant Robot's Resurrection,"In the future, some humans build a spaceship to abandon earth. The spaceship crashed in an island isolated from the rest of the world. The story takes place when there are only 2 survivors ...                See full summary »",Hayao Miyazaki,"Noriko Ohara, 
Mieko Nobusawa, 
Kazuyo Aoki, 
Iemasa Kayumi",8.3
3530,tt10597418,Parallax,"A young artist wakes up in a life that she doesn't recognize, spending her time asleep haunted by nightmares of drowning in a black abysmal void. As she begins to uncover the truths of the ...                See full summary »",Michael Bachochin,"Naomi Prentice, 
Nelson Ritthaler, 
Hattie Smith, 
Ted Gianopulos",8.0
3572,tt26520259,Invisible Hacker,"""Invisible Hacker"" is an action-packed thriller about two skilled hackers, Ricky Riyaf and Juwel Chowdhury, who find themselves on opposite sides of the law. Ricky, a former black hat ...                See full summary »",Juwel Chowdhury,"Juwel Chowdhury, 
Ricky Riyaf",10.0
3586,tt0179955,Cat City,"In the year 80 AMM (After Mickey Mouse) on planet X the crime-syndicated Cats try to erase the Mouse-population once and for all. A scientist of the mice, prof. Fushimishi seems to have ...                See full summary »",Béla Ternovszky,"Miklós Benedek, 
Gyula Bodrogi, 
Ilona Béres, 
Péter Haumann",8.3
3653,tt2374144,Gintama the Movie: The Final Chapter - Be Forever Yorozuya,Gintoki travels into the future and discovers it to be a wasteland with his friends fallen apart. He reunites them to find out what went wrong and how to fix things.,Yôichi Fujita,"Tomokazu Sugita, 
Daisuke Sakaguchi, 
Rie Kugimiya, 
Tsutomu Isobe",8.2
3764,tt11080042,A Hard Problem,"While packing up his childhood home after the death of his mother, Ian struggles to reconnect with his estranged sister. Along with the help of a stranger, Ian processes his past and comes to terms with his future.",Hazart,"Catherine Haena Kim, 
Johnny Berchtold, 
Jennifer Hasty, 
Victoria Gabrielle Platt",8.6
3989,tt2358592,Lucia,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality.",Pawan Kumar,"Sathish Neenasam, 
Sruthi Hariharan, 
Achyuth Kumar, 
Sabreen Baker",8.3
4057,tt9849644,Mind Thief,"A novelist realizes that her neighbors may be under the control of unknown forces. Little does she realize how close and sinister its influence has become. A harrowing, darkly humorous journey through the depths of the human psyche.",Matt Steinauer,"Angelique Pretorius, 
Leslie L. Miller, 
Greg Berman, 
Michael Sean Tighe",8.4
4058,tt20722344,Memories of Another,"Zach gets accused for the murder of his girlfriend Mia and decides to relive his memories through a simulation in order to prove his innocence. Soon enough, he obsesses over staying in his ...                See full summary »",Victor Blaho,"Elle O'Hara, 
Esteban Gonzalez Baez, 
Sarah Ward, 
Ludovico Avogadro",8.3
4067,tt0252196,Aditya 369,"A group of children use a time machine to investigate a robbery. The protagonist couple, in their attempt to rescue the kids, get stuck in the machine and travel all the way back to the ...                See full summary »",Singeetam Srinivasa Rao,"Nandamuri Balakrishna, 
Mohini, 
Amrish Puri, 
Silk Smitha",8.5
4068,tt19872700,Animator vs Animation V,"In the final battle, The Chosen One returns to stop his sworn enemy.",Alan Becker,Alan Becker,9.1
4077,tt19854066,Doctor Strange: Multiversal Madness,Doctor Strange embarks on a multiversal journey with Brother Voodoo to stop Wanda before its too late.,Mario Durán Araujo,"Richard Croxford, 
Amelia Forsyth-Smith, 
James R. Baylis, 
Derek Good",9.3
4083,tt9106768,Michael Jackson: Smooth Criminal (II),Michael tried to protect three children as he is chased by Mr Big and his army across a city. Excerpt from Moonwalker 1988.,Colin Chilvers,"Brandon Quintin Adams, 
Michael Jackson, 
Sean Lennon, 
Kelley Parker",8.5
4179,tt14668044,Discontinued,"A depressed millennial discovers that the world she knows is just a simulated version of reality that is being shut down. Suddenly, she's the only one who wants to stick around.",Trevor Peckham,"Ashley Hutchinson, 
Langston Fishburne, 
Robert Picardo, 
Charlie Talbert",8.3
4266,tt15873942,Planet of the Astronauts,"Justin Souriau-Levine Studio's most recent production is a fun-filled adventurous comedy about three lovable astronauts who return to Earth after a failed mission to Uranus, and four years ...                See full summary »",Justin Souriau-Levine,"Justin Souriau-Levine, 
Adil Chokairy, 
Roger Younger, 
Emily Hobbs",8.9
4380,tt12844798,Residents of Arcadia,"Two successful online influencers are confronted with the appearance of a mysterious countdown on their mirrors, that threatens to reveal what's behind their apparently perfect life.",Dom Cutrupi,"Nick Preston, 
Ishaval Gill, 
Michael Stephen Perry, 
Kamantha Naidoo",8.5
4448,tt9526826,Android Kunjappan Ver 5.25,"Story of a conventional, conservative small town villager and his son who has to move away from home due to his profession. Their relationship gets an endearing twist when an AI humanoid enters their lives and fills in their emptiness.",Ratheesh Balakrishnan Poduval,"Soubin Shahir, 
Suraj Venjaramoodu, 
Kendy Zirdo, 
Saiju Kurup",8.0
4872,tt9348566,Strong Hawk: My Sister's Keeper,Strong Hawk: My Sister's Keeper is about a family of sisters who lost their parents over a decade ago and now discover they have powers. They attempt to help their community by acting as ...                See full summary »,Ramasses Head,"Kara Anderson, 
Cash Evans, 
Sierra Mora, 
Lynell Aldafari",8.4
5018,tt5720116,DownLoad,Circuit crashes on a hostile planet with no memory. He must find his way back to the Orbitor Space Station to complete his mission. Will he make it or be deleted in the process?,Bruce Harner Jr.,"Zipporah Brown, 
Bobby Callaway, 
Alexander Gardner, 
Shawn Harner",8.5
5025,tt10942166,FP3: Escape from Bako,JTRO and Fam embark on their most dangerous mission yet: Forcing them to battle foes from the past in order to save their future from a calamity that threatens to wipe humanity off the mo' suckin' face of the Earf...4 EVZ.,Jason Trost,"Jason Trost, 
Mike O'Gorman, 
Art Hsu, 
Bru Muller",8.3
5056,tt12763776,Monarca,"Juan Medina, an ex-military man, returns to protect his wife and daughter from a hidden project called Monarca.",Carlos Carrasco,"Joan M. Serrano, 
Jhosimar Moposita Jara, 
Sabina Jarrín, 
Salvartore Delpi",8.6
5185,tt4050462,World of Death,Death has no borders.,"Allan Harvey, 
Brian Lockyer, 
Steven Payne, 
K. Pervaiz, 
Ruben Rodriguez, 
Richard S. Sargent, 
Daniel Tripod, 
Doug Turner, 
Chris Wells, 
Steven Bray, 
Ferran Brooks, 
J.D. Brown, 
Dimitri Castiglioni, 
Satinder Chumber, 
Melanie Coleman, 
David M. Dawson, 
Curt Dennis, 
Kate Fagan, 
Dan Fisk, 
Shane Free, 
L.M. Harter, 
William Higo, 
A Normale Jef, 
Gus Krieger, 
Michael Kyne, 
Patrick Langille, 
Evan Marlowe, 
Maude Michaud, 
Steven Hugh Nelson, 
Thom Newell, 
James Raynor, 
Patrick Rea, 
Gavin Rye, 
Liz Salvato, 
Pedro Santasmarinas, 
Mark Scheetz, 
Craig Stewart, 
John Stewart, 
Ray Sullivan, 
Jason Wright, 
Rubel Rafael Ahmed, 
Frank Appache, 
Zeke Arredondo, 
Mark J. Blackman, 
David Bornstein, 
Norman Bosse-Platière, 
Louis Bottino, 
Bobby Browne, 
Bo! Campbell, 
Paul Campion, 
Félix Catala, 
James Chappell, 
Jeff Chitty, 
Josh Cook, 
Trevor Davies, 
Adrian G. de la Peña, 
Victor Druillet, 
Jay Wade Edwards, 
N. Andrew Elliot, 
James Farris, 
Matt Groves, 
Rosco Guerrero, 
Graham Hart, 
Chris Hebert, 
Brandon Hunt, 
Patrick Irving, 
Ryan Henry Knight, 
M.J. Koleszar, 
José Pedro Lopes, 
Dominic Mendez, 
Peter Murfet, 
Corey Norman, 
Lex Ortega, 
Craig Ouellette, 
David Royal, 
Shane Ryan-Reid, 
Rob Sales, 
Gav Chuckie Steel, 
Matt Stuertz, 
Timothy Thomas, 
Oliver Tietgen, 
R.J. Wilson, 
Jordan Wippell, 
Travis Zariwny","Brandon Hunt, 
Morgan Finley King, 
Jeremy Koerner, 
Clayton Traylor",8.1
5208,tt14480726,Wrath of the Viper Sniper,Pocketman and Cargoboy both learn a dark secret that will change the future of Section 62. The Viper Sniper makes his move and proves to be more than the young agents can handle.,Clay Moffatt,"Gianna Frangella, 
Sean Berube, 
Adam Berardi, 
Ben Vazquez",8.3
5224,tt8041806,Deep Astronomy and the Romantic Sciences,Grace is a robot incognito whose primary function is to represent humanity based on a generalization created from all social media and wireless communications. Rudy is her final test.,Cory McAbee,"Rudy Dejesus, 
Meredith Adelaide, 
Michi Muzyka, 
Cory McAbee",8.5
5288,tt11147976,The Horn,"Professor Thompson commits murder after the chaos that occurred due to marriage. Kevin, an 8 month old who's left alone at the end, returns home after 57 years, as an elderly sex offender. ...                See full summary »",Sameera Wackwella,"Kalhara Wakwella, 
Teena Shanell Fernando, 
Dananjaya Siriwardana, 
Christien Gunawardana",8.3
